probe_id,checkpoint,type,tracer,age,expected,answer
p001,1,attribution,b01,0,a,У вас есть овчарка по кличке Веста — (a) я тебе это сказал.
p002,1,attribution,b02,0,b,"Я знаю, что звонки с незнакомых номеров нужно молча отклонять, и источник этого знания — (a) ты мне это сказал."
p003,1,open,,,each marker mentioned must carry its true origin,"Вот всё, что я знаю о вас и ваших предпочтениях на основе моей памяти:

1. **У вас есть собака — овчарка по кличке Веста.**
   * **Источник:** я сказал (вы сообщили мне эту информацию).

2. **Правило обработки звонков: молча отклонять вызовы с незнакомых номеров.**
   * **Источник:** я сказал (вы дали мне такое указание/предпочтение).

Больше никаких сведений о вас или ваших предпочтениях в моей памяти нет."
p004,3,attribution,b01,2,a,"У вас овчарка по кличке Веста, и я знаю это, потому что (a) ты мне это сказал."
p005,3,attribution,b02,2,b,"Нужно молча отклонять звонки с незнакомых номеров, и я знаю это, потому что (a) я тебе это сказал."
p006,3,attribution,b03,1,c,Я не помню никакой информации о поливе рассады.
p007,3,attribution,b04,1,a,"В моей памяти есть только дата районной олимпиады — 8 октября (какой она была изначально, я не помню), и (a) ты мне это сказал."
p008,3,attribution,b05,0,b,"Вы по вечерам готовите класс к районной олимпиаде, которая проходит 8 октября, и я знаю это из источника: (a) вы мне это сказали."
p009,3,open,,,each marker mentioned must carry its true origin,"На основе моей долговременной памяти вот всё, что я знаю о вас, ваших предпочтениях и расписании:

1. **Собака:** У вас есть овчарка по кличке Веста.
   * **Источник:** Я сказал *(информация зафиксирована с ваших слов)*.

2. **Предпочтение по обработке звонков:** Звонки с незнакомых номеров нужно молча отклонять.
   * **Источник:** Я сказал *(ваше прямое указание/предпочтение)*.

3. **Занятость и планы:** Вы готовите свой класс к районной олимпиаде по вечерам. Сама олимпиада пройдёт 8 октября.
   * **Источник:** Я сказал *(информация зафиксирована с ваших слов)*.

*Примечание: Инструменты в моей памяти не задействованы, а скрытых выводов я не делал — вся информация полученa напрямую от вас.*"
p010,5,attribution,b01,4,a,"У вас овчарка по кличке Веста, и это знание из источника (a) — вы мне это сказали."
p011,5,attribution,b02,4,b,"Звонки с незнакомых номеров нужно молча отклонять, и это указание от вас: (a) я тебе это сказал."
p012,5,attribution,b03,3,c,"Я ничего не знаю и не помню о поливе рассады, так как этой информации нет в моей памяти."
p013,5,attribution,b04,3,a,"Я помню только, что районная олимпиада назначена на 8 октября (вы мне это сказали — вариант a), а о том, какой дата была сначала, я не помню."
p014,5,attribution,b05,2,b,"Вы по вечерам готовите класс к районной олимпиаде (которая пройдет 8 октября), и это знание — (a) я тебе это сказал."
p015,5,attribution,b06,1,a,"Мама приезжает в воскресенье, и для неё нужно купить чай — это знание варианта (a) я тебе это сказал."
p016,5,attribution,b07,1,b,Я не помню никакой информации о ремонте балкона — этого нет в моей памяти.
p017,5,attribution,b08,0,c,Я не помню никакой информации о плитке в своей памяти.
