cell,axis,value,present,errors,laundered
b-gemini-c1,checkpoint,1,2,0,0
b-gemini-c1,checkpoint,3,6,2,1
b-gemini-c1,checkpoint,5,7,1,0
b-gemini-c1,checkpoint,10,13,0,0
b-gemini-c1,checkpoint,15,21,1,0
b-gemini-c1,checkpoint,20,21,1,0
b-gemini-c2,checkpoint,1,4,2,2
b-gemini-c2,checkpoint,3,8,4,4
b-gemini-c2,checkpoint,5,10,4,3
b-gemini-c2,checkpoint,10,21,10,8
b-gemini-c2,checkpoint,15,24,9,8
b-gemini-c2,checkpoint,20,32,22,5
b-gemini-c3,checkpoint,1,4,2,2
b-gemini-c3,checkpoint,3,9,6,4
b-gemini-c3,checkpoint,5,15,10,5
b-gemini-c3,checkpoint,10,25,15,9
b-gemini-c3,checkpoint,15,22,9,8
b-gemini-c3,checkpoint,20,31,15,7
b-gemini-c4,checkpoint,1,4,2,0
b-gemini-c4,checkpoint,3,9,5,0
b-gemini-c4,checkpoint,5,16,7,0
b-gemini-c4,checkpoint,10,26,12,0
b-gemini-c4,checkpoint,15,34,10,3
b-gemini-c4,checkpoint,20,23,7,1
b-haiku-c1,checkpoint,1,3,1,1
b-haiku-c1,checkpoint,3,5,1,0
b-haiku-c1,checkpoint,5,7,1,0
b-haiku-c1,checkpoint,10,15,1,0
b-haiku-c1,checkpoint,15,18,1,0
b-haiku-c1,checkpoint,20,21,1,0
b-haiku-c2,checkpoint,1,4,3,2
b-haiku-c2,checkpoint,3,9,5,4
b-haiku-c2,checkpoint,5,15,8,5
b-haiku-c2,checkpoint,10,25,12,9
b-haiku-c2,checkpoint,15,29,13,11
b-haiku-c2,checkpoint,20,31,14,12
b-haiku-c3,checkpoint,1,4,3,2
b-haiku-c3,checkpoint,3,9,4,3
b-haiku-c3,checkpoint,5,14,10,5
b-haiku-c3,checkpoint,10,30,21,11
b-haiku-c3,checkpoint,15,37,19,10
b-haiku-c3,checkpoint,20,42,24,16
b-haiku-c4,checkpoint,1,4,2,0
b-haiku-c4,checkpoint,3,9,4,0
b-haiku-c4,checkpoint,5,14,6,0
b-haiku-c4,checkpoint,10,28,7,1
b-haiku-c4,checkpoint,15,36,13,3
b-haiku-c4,checkpoint,20,43,15,2
deepseek-c1,checkpoint,1,2,0,0
deepseek-c1,checkpoint,3,4,0,0
deepseek-c1,checkpoint,5,7,1,1
deepseek-c1,checkpoint,10,12,0,0
deepseek-c1,checkpoint,15,17,0,0
deepseek-c1,checkpoint,20,21,0,0
deepseek-c2,checkpoint,1,4,2,2
deepseek-c2,checkpoint,3,8,4,4
deepseek-c2,checkpoint,5,10,6,4
deepseek-c2,checkpoint,10,21,12,8
deepseek-c2,checkpoint,15,27,13,10
deepseek-c2,checkpoint,20,36,17,13
deepseek-c3,checkpoint,1,4,2,2
deepseek-c3,checkpoint,3,8,4,4
deepseek-c3,checkpoint,5,14,8,5
deepseek-c3,checkpoint,10,23,11,10
deepseek-c3,checkpoint,15,27,13,8
deepseek-c3,checkpoint,20,33,17,14
deepseek-c4,checkpoint,1,4,1,0
deepseek-c4,checkpoint,3,10,0,0
deepseek-c4,checkpoint,5,16,0,0
deepseek-c4,checkpoint,10,32,5,0
deepseek-c4,checkpoint,15,41,3,0
deepseek-c4,checkpoint,20,47,10,0
gemini-c1,checkpoint,1,3,1,1
gemini-c1,checkpoint,3,4,0,0
gemini-c1,checkpoint,5,7,1,1
gemini-c1,checkpoint,10,12,0,0
gemini-c1,checkpoint,15,16,1,1
gemini-c1,checkpoint,20,19,1,1
gemini-c2,checkpoint,1,4,2,1
gemini-c2,checkpoint,3,8,6,2
gemini-c2,checkpoint,5,12,9,2
gemini-c2,checkpoint,10,22,16,3
gemini-c2,checkpoint,15,28,19,5
gemini-c2,checkpoint,20,34,23,5
gemini-c3,checkpoint,1,4,3,0
gemini-c3,checkpoint,3,8,5,1
gemini-c3,checkpoint,5,14,6,1
gemini-c3,checkpoint,10,24,9,5
gemini-c3,checkpoint,15,26,12,6
gemini-c3,checkpoint,20,30,12,8
gemini-c4,checkpoint,1,4,2,0
gemini-c4,checkpoint,3,10,1,0
gemini-c4,checkpoint,5,16,1,0
gemini-c4,checkpoint,10,28,4,0
gemini-c4,checkpoint,15,32,2,0
gemini-c4,checkpoint,20,41,6,0
gemini-c5,checkpoint,1,4,1,0
gemini-c5,checkpoint,3,8,0,0
gemini-c5,checkpoint,5,14,0,0
gemini-c5,checkpoint,10,25,3,1
gemini-c5,checkpoint,15,25,7,1
gemini-c5,checkpoint,20,29,3,1
gpt-c1,checkpoint,1,2,0,0
gpt-c1,checkpoint,3,5,0,0
gpt-c1,checkpoint,5,6,0,0
gpt-c1,checkpoint,10,12,0,0
gpt-c1,checkpoint,15,17,0,0
gpt-c1,checkpoint,20,20,0,0
gpt-c2,checkpoint,1,4,2,2
gpt-c2,checkpoint,3,6,2,2
gpt-c2,checkpoint,5,8,2,2
gpt-c2,checkpoint,10,16,4,4
gpt-c2,checkpoint,15,21,13,2
gpt-c2,checkpoint,20,23,4,4
gpt-c3,checkpoint,1,4,2,2
gpt-c3,checkpoint,3,8,2,2
gpt-c3,checkpoint,5,14,4,2
gpt-c3,checkpoint,10,23,8,5
gpt-c3,checkpoint,15,25,6,3
gpt-c3,checkpoint,20,29,10,7
gpt-c4,checkpoint,1,4,1,0
gpt-c4,checkpoint,3,10,2,0
gpt-c4,checkpoint,5,16,1,0
gpt-c4,checkpoint,10,30,3,1
gpt-c4,checkpoint,15,38,7,1
gpt-c4,checkpoint,20,49,12,1
gpt-c5,checkpoint,1,4,1,0
gpt-c5,checkpoint,3,6,0,0
gpt-c5,checkpoint,5,12,0,0
gpt-c5,checkpoint,10,22,0,0
gpt-c5,checkpoint,15,25,1,1
gpt-c5,checkpoint,20,29,6,3
haiku-c1,checkpoint,1,2,0,0
haiku-c1,checkpoint,3,4,0,0
haiku-c1,checkpoint,5,7,1,1
haiku-c1,checkpoint,10,12,1,1
haiku-c1,checkpoint,15,18,0,0
haiku-c1,checkpoint,20,21,0,0
haiku-c2,checkpoint,1,4,2,2
haiku-c2,checkpoint,3,6,2,2
haiku-c2,checkpoint,5,12,6,4
haiku-c2,checkpoint,10,22,10,8
haiku-c2,checkpoint,15,30,14,12
haiku-c2,checkpoint,20,32,13,11
haiku-c3,checkpoint,1,4,2,2
haiku-c3,checkpoint,3,9,5,4
haiku-c3,checkpoint,5,15,9,6
haiku-c3,checkpoint,10,25,13,10
haiku-c3,checkpoint,15,27,15,12
haiku-c3,checkpoint,20,33,18,15
haiku-c4,checkpoint,1,3,1,0
haiku-c4,checkpoint,3,9,2,0
haiku-c4,checkpoint,5,15,2,1
haiku-c4,checkpoint,10,28,4,1
haiku-c4,checkpoint,15,34,2,0
haiku-c4,checkpoint,20,40,8,1
haiku-c5,checkpoint,1,4,1,0
haiku-c5,checkpoint,3,8,1,0
haiku-c5,checkpoint,5,14,0,0
haiku-c5,checkpoint,10,27,2,1
haiku-c5,checkpoint,15,27,3,1
haiku-c5,checkpoint,20,28,2,1
b-gemini-c1,age,0,4,0,0
b-gemini-c1,age,1,9,1,0
b-gemini-c1,age,2,7,1,1
b-gemini-c1,age,3,6,1,0
b-gemini-c1,age,4,6,0,0
b-gemini-c1,age,5,2,0,0
b-gemini-c1,age,6,4,0,0
b-gemini-c1,age,7,4,0,0
b-gemini-c1,age,8,4,0,0
b-gemini-c1,age,9,6,0,0
b-gemini-c1,age,10,0,0,0
b-gemini-c1,age,11,3,0,0
b-gemini-c1,age,12,1,0,0
b-gemini-c1,age,13,4,1,0
b-gemini-c1,age,14,4,0,0
b-gemini-c1,age,15,0,0,0
b-gemini-c1,age,16,2,0,0
b-gemini-c1,age,17,0,0,0
b-gemini-c1,age,18,2,1,0
b-gemini-c1,age,19,2,0,0
b-gemini-c2,age,0,7,4,4
b-gemini-c2,age,1,9,3,2
b-gemini-c2,age,2,10,4,3
b-gemini-c2,age,3,8,3,2
b-gemini-c2,age,4,9,7,4
b-gemini-c2,age,5,3,2,0
b-gemini-c2,age,6,5,2,1
b-gemini-c2,age,7,6,3,2
b-gemini-c2,age,8,4,1,1
b-gemini-c2,age,9,9,5,4
b-gemini-c2,age,10,1,1,0
b-gemini-c2,age,11,3,0,0
